Event	ID	Name			Wwise Object Path	Notes
	2453392179	Player_Footstep			\Default Work Unit\Player_Footstep	
	3629196698	Player_Land			\Default Work Unit\Player_Land	

Switch Group	ID	Name			Wwise Object Path	Notes
	63790334	SurfaceType			\Default Work Unit\SurfaceType	

Switch	ID	Name	Switch Group			Notes
	582824249	Leaves	SurfaceType			
	687380132	Soil	SurfaceType			
	782826392	Default	SurfaceType			
	1216965916	Stone	SurfaceType			
	2058049674	Wood	SurfaceType			
	2473969246	Metal	SurfaceType			
	4248645337	Grass	SurfaceType			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1062779386	Player_Speed			\Default Work Unit\Player_Speed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6265944	Land_Metal_01	.cache\B6\{B691E8F6-9CF9-EC20-F113-077BD1D1D3CA}.wem		\Containers\Player\Player_Land_Surface\Metal_Land\Land_Metal_01		230496
	10788316	Footstep_Stone_04	.cache\94\{94FE55D7-3C50-ABCA-BB85-1039456B8E85}.wem		\Containers\Player\Player_Footstep_Surface\Stone_Footstep\Footstep_Stone_04		230496
	74810679	Footstep_Metal_04	.cache\EA\{EA40E350-4DE7-F832-DDBF-3D8BD4EF6DD8}.wem		\Containers\Player\Player_Footstep_Surface\Metal_Footstep\Footstep_Metal_04		230496
	129022438	Footstep_Soil_02	.cache\5B\{5BA6F7C0-D100-CEC6-BC41-3A921FAABA15}.wem		\Containers\Player\Player_Footstep_Surface\Soil_Footstep\Footstep_Soil_02		230496
	150220496	Land_Leaves_02	.cache\CC\{CC947EC8-B6ED-B965-D5CA-F6E78527240A}.wem		\Containers\Player\Player_Land_Surface\Leaves_Land\Land_Leaves_02		230496
	169697624	Land_Leaves_01	.cache\41\{41AE319E-CA09-F104-1E51-D2F0A95D88F3}.wem		\Containers\Player\Player_Land_Surface\Leaves_Land\Land_Leaves_01		230496
	187481456	Land_Metal_04	.cache\19\{19B1C1BE-991F-5CFD-8137-FD4B7EFC23B9}.wem		\Containers\Player\Player_Land_Surface\Metal_Land\Land_Metal_04		230496
	203499254	Land_Stone_04	.cache\3E\{3E1BCE60-CB56-2528-3E4E-3ACD0F04F307}.wem		\Containers\Player\Player_Land_Surface\Stone_Land\Land_Stone_04		284256
	237362321	Land_Stone_02	.cache\1D\{1DA0D388-186E-A322-BA93-8FCCDDEFE20D}.wem		\Containers\Player\Player_Land_Surface\Stone_Land\Land_Stone_02		284256
	262685794	Footstep_Metal_01	.cache\50\{50A9DEDE-6B9C-6AE3-30D3-A07AF1E927FD}.wem		\Containers\Player\Player_Footstep_Surface\Metal_Footstep\Footstep_Metal_01		230496
